codcli,marca,colecaoId,colecao,ordem,valor
17301,VALENT,V26,Verão 2026,3,2238
17309,KIKI,V26,Verão 2026,3,4252
17309,MENINA ANJO,V26,Verão 2026,3,9882
17309,VALENT,V26,Verão 2026,3,2563
17310,KIKI,V26,Verão 2026,3,8748
17310,KIKI,V27,Verão 2027,6,2
17310,MENINA ANJO,V26,Verão 2026,3,4280
17310,VALENT,V26,Verão 2026,3,817
17312,KIKI,I26,Inverno 2026,4,5306
17312,KIKI,V26,Verão 2026,3,13301
17312,KIKI,V27,Verão 2027,6,12503
17312,MENINA ANJO,I26,Inverno 2026,4,14146
17312,MENINA ANJO,V26,Verão 2026,3,5211
17312,MENINA ANJO,V27,Verão 2027,6,15921
17312,VALENT,I26,Inverno 2026,4,1388
17312,VALENT,V27,Verão 2027,6,4087
17318,KIKI,I26,Inverno 2026,4,3211
17318,KIKI,V26,Verão 2026,3,40188
17318,MENINA ANJO,V26,Verão 2026,3,22560
17319,KIKI,I26,Inverno 2026,4,612686
17319,KIKI,V26,Verão 2026,3,56591
17319,MENINA ANJO,I26,Inverno 2026,4,537740
17323,KIKI,I26,Inverno 2026,4,5
17324,KIKI,V26,Verão 2026,3,4676
17324,MENINA ANJO,V26,Verão 2026,3,2536
17325,KIKI,I26,Inverno 2026,4,25621
17325,MENINA ANJO,I26,Inverno 2026,4,12791
17325,MENINA ANJO,V26,Verão 2026,3,5094
17328,KIKI,V26,Verão 2026,3,912400
17328,KIKI,V27,Verão 2027,6,518724
17328,VALENT,V26,Verão 2026,3,3
17328,VALENT,V27,Verão 2027,6,2
17329,KIKI,V26,Verão 2026,3,21929
17329,MENINA ANJO,V26,Verão 2026,3,7338
17329,VALENT,V26,Verão 2026,3,10657
17334,KIKI,V26,Verão 2026,3,70
17334,VALENT,V26,Verão 2026,3,13
17335,KIKI,V26,Verão 2026,3,11614
17336,KIKI,V26,Verão 2026,3,153440
17336,MENINA ANJO,V26,Verão 2026,3,44354
17337,KIKI,V26,Verão 2026,3,120412
17337,VALENT,V26,Verão 2026,3,435892
17344,KIKI,V26,Verão 2026,3,1
17344,VALENT,V26,Verão 2026,3,1
17350,KIKI,V26,Verão 2026,3,3573
17350,VALENT,V26,Verão 2026,3,929
17351,KIKI,V26,Verão 2026,3,137991
17351,MENINA ANJO,V26,Verão 2026,3,18847
17354,KIKI,I26,Inverno 2026,4,710845
17354,KIKI,T26,Tropical 2026,5,22100
17354,KIKI,V26,Verão 2026,3,127105
17354,KIKI,V27,Verão 2027,6,473
17354,MENINA ANJO,I26,Inverno 2026,4,18765
17354,MENINA ANJO,V26,Verão 2026,3,32319
17354,MENINA ANJO,V27,Verão 2027,6,409
17354,VALENT,I26,Inverno 2026,4,1801815
17354,VALENT,T26,Tropical 2026,5,23183
17354,VALENT,V26,Verão 2026,3,37832
17358,KIKI,V26,Verão 2026,3,6473
17359,KIKI,V26,Verão 2026,3,6459
17360,KIKI,V26,Verão 2026,3,6001
17360,MENINA ANJO,V26,Verão 2026,3,10948
17361,KIKI,I26,Inverno 2026,4,850
17361,KIKI,T26,Tropical 2026,5,3168
17361,KIKI,V26,Verão 2026,3,12
17361,KIKI,V27,Verão 2027,6,543720
17361,VALENT,V26,Verão 2026,3,3296
17361,VALENT,V27,Verão 2027,6,6610
17363,KIKI,V26,Verão 2026,3,165100
17363,MENINA ANJO,V26,Verão 2026,3,21791
17366,KIKI,I26,Inverno 2026,4,1886
17366,KIKI,V26,Verão 2026,3,8932
17366,MENINA ANJO,I26,Inverno 2026,4,949
17366,MENINA ANJO,V26,Verão 2026,3,3615
17366,VALENT,V26,Verão 2026,3,3038
17370,KIKI,V26,Verão 2026,3,177999
17370,MENINA ANJO,V26,Verão 2026,3,69944
17371,KIKI,I26,Inverno 2026,4,20945
17371,KIKI,T26,Tropical 2026,5,8746
17371,KIKI,V26,Verão 2026,3,5090
17371,MENINA ANJO,I26,Inverno 2026,4,2846
17372,MENINA ANJO,V26,Verão 2026,3,72044
17375,KIKI,V26,Verão 2026,3,70387
17375,VALENT,V26,Verão 2026,3,585728
17376,KIKI,V26,Verão 2026,3,7234
17376,MENINA ANJO,V26,Verão 2026,3,6019
17377,KIKI,V26,Verão 2026,3,532162
17378,KIKI,V26,Verão 2026,3,13120
17378,MENINA ANJO,V26,Verão 2026,3,5139
17381,KIKI,V26,Verão 2026,3,12
17386,KIKI,I26,Inverno 2026,4,13052
17386,KIKI,V26,Verão 2026,3,4558
17386,MENINA ANJO,V26,Verão 2026,3,2563
17390,KIKI,V26,Verão 2026,3,6997
17390,MENINA ANJO,V26,Verão 2026,3,9385
17391,KIKI,I26,Inverno 2026,4,659401
17391,KIKI,V26,Verão 2026,3,7947
17391,VALENT,I26,Inverno 2026,4,1029558
17391,VALENT,V26,Verão 2026,3,5
17395,KIKI,V26,Verão 2026,3,4232
17395,VALENT,V26,Verão 2026,3,3014
17398,KIKI,V26,Verão 2026,3,8235
17398,MENINA ANJO,V26,Verão 2026,3,2675
17399,KIKI,V26,Verão 2026,3,8667
17400,KIKI,V26,Verão 2026,3,55947
17400,MENINA ANJO,V26,Verão 2026,3,31993
17400,VALENT,V26,Verão 2026,3,8677
17401,KIKI,I26,Inverno 2026,4,121646
17401,KIKI,T26,Tropical 2026,5,17811
17401,KIKI,V26,Verão 2026,3,121175
17401,KIKI,V27,Verão 2027,6,493091
17401,VALENT,I26,Inverno 2026,4,2554737
17401,VALENT,T26,Tropical 2026,5,18250
17401,VALENT,V26,Verão 2026,3,1191785
17401,VALENT,V27,Verão 2027,6,37126
17402,KIKI,I26,Inverno 2026,4,706518
17402,KIKI,T26,Tropical 2026,5,12315
17402,KIKI,V26,Verão 2026,3,47592
17402,KIKI,V27,Verão 2027,6,77357
17402,MENINA ANJO,I26,Inverno 2026,4,695887
17402,MENINA ANJO,T26,Tropical 2026,5,5697
17402,MENINA ANJO,V26,Verão 2026,3,16119
17402,MENINA ANJO,V27,Verão 2027,6,450601
17402,VALENT,I26,Inverno 2026,4,926361
17402,VALENT,V26,Verão 2026,3,12128
17402,VALENT,V27,Verão 2027,6,31251
17407,MENINA ANJO,V26,Verão 2026,3,2486
17410,KIKI,V26,Verão 2026,3,938
17410,MENINA ANJO,V26,Verão 2026,3,2270
17410,VALENT,V26,Verão 2026,3,7688
17411,KIKI,V26,Verão 2026,3,9014
17411,VALENT,V26,Verão 2026,3,5
17412,KIKI,V26,Verão 2026,3,94881
17412,KIKI,V27,Verão 2027,6,209667
17412,MENINA ANJO,V26,Verão 2026,3,31953
17412,MENINA ANJO,V27,Verão 2027,6,455829
17412,VALENT,V26,Verão 2026,3,26350
17419,KIKI,V26,Verão 2026,3,13838
17419,MENINA ANJO,V26,Verão 2026,3,17800
17421,KIKI,I26,Inverno 2026,4,7265
17422,KIKI,I26,Inverno 2026,4,1088
17422,KIKI,V26,Verão 2026,3,7135
17422,MENINA ANJO,I26,Inverno 2026,4,1357
17424,MENINA ANJO,V26,Verão 2026,3,32232
17427,KIKI,V26,Verão 2026,3,140665
17427,MENINA ANJO,V26,Verão 2026,3,53496
17427,VALENT,V26,Verão 2026,3,54491
17428,KIKI,I26,Inverno 2026,4,19354
17428,KIKI,V26,Verão 2026,3,16956
17428,KIKI,V27,Verão 2027,6,2585
17428,VALENT,I26,Inverno 2026,4,3474
17429,KIKI,I26,Inverno 2026,4,462499
17429,KIKI,T26,Tropical 2026,5,12372
17429,KIKI,V26,Verão 2026,3,52311
17430,KIKI,V26,Verão 2026,3,19248
17430,MENINA ANJO,V26,Verão 2026,3,33456
17430,VALENT,V26,Verão 2026,3,14124
17432,KIKI,V26,Verão 2026,3,5116
17433,KIKI,V26,Verão 2026,3,24146
17433,VALENT,V26,Verão 2026,3,10193
17435,KIKI,V26,Verão 2026,3,24556
17436,KIKI,V26,Verão 2026,3,27732
17437,KIKI,V26,Verão 2026,3,11788
17441,KIKI,I26,Inverno 2026,4,522498
17441,KIKI,T26,Tropical 2026,5,28663
